    51/299      2.3G   0.03243   0.02368         0   0.05611        21       640     0.824    0.8152    0.8901    0.6032   0.04472   0.06086         0
    52/299      2.3G   0.03197   0.02299         0   0.05496        25       640    0.8404    0.8265    0.9054    0.6051   0.04465   0.05886         0
    53/299      2.3G   0.03118   0.02567         0   0.05685        22       640     0.802    0.8571    0.8952    0.6042   0.04338   0.06147         0
    54/299      2.3G   0.03184   0.02398         0   0.05582        31       640     0.813    0.8281    0.8961    0.5966   0.04401   0.05992         0
    55/299      2.3G   0.03077   0.02479         0   0.05555        40       640     0.834    0.8376    0.9093    0.6259   0.04318   0.06126         0
    56/299      2.3G   0.03164   0.02284         0   0.05448        27       640    0.7952    0.8367    0.8932    0.6065   0.04252   0.06003         0
    57/299      2.3G   0.03231   0.02292         0   0.05523        35       640     0.801    0.8441       0.9     0.613   0.04204   0.06177         0
    58/299      2.3G   0.03125   0.02326         0   0.05451        32       640    0.8381    0.8219    0.9073    0.6277   0.04231   0.06154         0
    59/299      2.3G   0.03076    0.0217         0   0.05246        23       640     0.844    0.8342    0.9176    0.6346   0.04154   0.06196         0
    60/299      2.3G   0.03141   0.02292         0   0.05433        18       640    0.8224    0.8298    0.8965    0.6114   0.04188   0.06119         0
    61/299      2.3G   0.03062   0.02346         0   0.05407        26       640    0.8048    0.8787    0.9115    0.6214   0.04173   0.06155         0
    62/299      2.3G   0.03043   0.02298         0   0.05341        20       640     0.824    0.8458     0.911     0.634   0.04123   0.06001         0
    63/299      2.3G    0.0306   0.02318         0   0.05378        17       640    0.8504    0.8277    0.9129    0.6295   0.04065   0.06056         0
    64/299      2.3G   0.03088   0.02351         0   0.05439        25       640    0.8171    0.8594    0.9133     0.623   0.04084    0.0632         0
    65/299      2.3G   0.03061   0.02205         0   0.05266        29       640    0.8256     0.859    0.9137    0.6301   0.03987   0.06183         0
    66/299      2.3G   0.03052   0.02292         0   0.05343        19       640    0.8264    0.8581    0.9105    0.6288   0.04032   0.06182         0
    67/299      2.3G   0.03126    0.0227         0   0.05396        24       640    0.8252    0.8537    0.9163    0.6444   0.04074   0.06296         0
    68/299      2.3G   0.03062   0.02426         0   0.05488        34       640     0.803    0.8515    0.9041    0.6206   0.04126   0.06017         0
    69/299      2.3G   0.03062   0.02204         0   0.05266        17       640     0.827    0.8741    0.9176    0.6397   0.04205   0.06125         0
    70/299      2.3G   0.03062   0.02266         0   0.05328        25       640    0.8181    0.8718    0.9151    0.6435   0.04065   0.06207         0
    71/299      2.3G   0.02951    0.0232         0   0.05271        31       640    0.8282    0.8748    0.9247    0.6503   0.04043   0.06097         0
    72/299      2.3G   0.03088   0.02299         0   0.05386        33       640    0.8359    0.8546    0.9161     0.647    0.0406   0.06019         0
    73/299      2.3G    0.0302   0.02247         0   0.05268        20       640    0.8668    0.8424    0.9231    0.6505   0.04026   0.06105         0
    74/299      2.3G   0.03101   0.02268         0   0.05369        11       640    0.8363    0.8691    0.9254    0.6457   0.04077   0.06385         0
    75/299      2.3G   0.02946   0.02186         0   0.05132        19       640    0.8108    0.8605    0.9101    0.6444   0.04045   0.06024         0
    76/299      2.3G   0.02969   0.02183         0   0.05153        25       640     0.856     0.856     0.929    0.6504   0.04133   0.06121         0
    77/299      2.3G   0.02949   0.02281         0   0.05229        15       640    0.8286    0.8333    0.9074    0.6438   0.04115   0.05968         0
    78/299      2.3G   0.02968   0.02163         0   0.05131        32       640    0.8374    0.8707    0.9259    0.6552   0.04146     0.062         0
    79/299      2.3G   0.03016   0.02192         0   0.05208        18       640    0.8224    0.8818    0.9185    0.6526   0.04129   0.05908         0
    80/299      2.3G   0.02978   0.02174         0   0.05152        16       640     0.858    0.8635    0.9315    0.6588   0.04071   0.05873         0
    81/299      2.3G   0.02986   0.02223         0    0.0521        21       640    0.8685    0.8413    0.9324    0.6654   0.04047   0.06054         0
    82/299      2.3G   0.02958   0.02259         0   0.05217        24       640    0.8856    0.8707    0.9409    0.6667    0.0408   0.05964         0
    83/299      2.3G   0.02946   0.02198         0   0.05144        23       640    0.8508    0.8729    0.9252     0.657   0.04039   0.05905         0
    84/299      2.3G   0.02927   0.02267         0   0.05194        49       640     0.895    0.8469    0.9388    0.6656    0.0411   0.05914         0
    85/299      2.3G   0.02917   0.02123         0    0.0504        27       640    0.8566    0.8741    0.9351    0.6471   0.04118   0.06227         0
    86/299      2.3G   0.02919    0.0221         0   0.05129        14       640    0.8429    0.8639    0.9282    0.6649   0.04072   0.05878         0
    87/299      2.3G   0.02939   0.02223         0   0.05162        45       640    0.8001    0.8757    0.9038    0.6372   0.03961   0.06095         0
    88/299      2.3G   0.02933   0.02139         0   0.05072        20       640    0.8525    0.8911    0.9385    0.6642   0.04065   0.05912         0
    89/299      2.3G    0.0288   0.02189         0   0.05069        42       640    0.8706    0.8617     0.942    0.6796   0.04011   0.05988         0
    90/299      2.3G   0.02918   0.02259         0   0.05177        17       640    0.8696    0.8628    0.9414    0.6772   0.04064   0.05856         0
    91/299      2.3G   0.02923   0.02208         0   0.05131        14       640    0.8916    0.8685    0.9426     0.675   0.04027   0.05819         0
    92/299      2.3G   0.02947   0.02123         0    0.0507        23       640    0.8743    0.8696    0.9435    0.6691    0.0405   0.05949         0
